time_s,p_in_bar,p_out_bar,q_m3s,comp_speed_frac
0,50.0,49.5,1.0,0.8
1,50.04188360465645,49.499814959637376,1.0,0.8003333333333333
2,50.08374883886322,49.49925988420275,1.0,0.8006666666666667
3,50.12557734022805,49.498334910644594,1.0,0.801
4,50.16735076246995,49.49704026717285,1.0,0.8013333333333333
5,50.20905078346606,49.49537627320256,1.0,0.8016666666666667
6,50.2506591132878,49.493343339275135,1.0,0.802
7,50.29215750222302,49.49094196695702,1.0,0.8023333333333333
8,50.33352774878041,49.48817274871594,1.0,0.8026666666666668
9,50.37475170767286,49.48503636777476,1.0,0.803
10,50.415811297776045,49.481533597942914,1.0,0.8033333333333333
11,50.456688510058996,49.47766530342546,1.0,0.8036666666666668
12,50.497365415482946,49.4734324386099,1.0,0.804
13,50.537824172865164,49.46883604783067,1.0,0.8043333333333333
14,50.578047036704234,49.46387726511154,1.0,0.8046666666666668
15,50.6180163649633,49.458557313885784,1.0,0.805
16,50.65771462680807,49.45287750669433,1.0,0.8053333333333333
17,50.697124410295906,49.446839244861955,1.0,0.8056666666666668
18,50.73622843001286,49.440444018151545,1.0,0.806
19,50.775009534655155,49.43369340439652,1.0,0.8063333333333333
20,50.813450714551905,49.42658906911157,1.0,0.8066666666666668
21,50.85153510912563,49.419132765081734,1.0,0.807
22,50.88924601428748,49.41132633192995,1.0,0.8073333333333333
23,50.92656688976373,49.40317169566317,1.0,0.8076666666666668
24,50.963481366350464,49.39467086819721,1.0,0.808
25,50.999973253093266,49.385825946860315,1.0,0.8083333333333333
26,51.03602654438863,49.37663911387577,1.0,0.8086666666666668
27,51.071625427004186,49.367112635823446,1.0,0.809
28,51.10675428701445,49.357248863080606,1.0,0.8093333333333333
29,51.14139771664924,49.34705022924204,1.0,0.8096666666666668
30,51.175540521051616,49.33651925051962,1.0,0.81
31,51.209167724942475,49.325658525121504,1.0,0.8103333333333333
32,51.24226457918877,49.314470732611106,1.0,0.8106666666666668
33,51.274816567272644,49.30295863324602,1.0,0.811
34,51.306809411658435,49.29112506729696,1.0,0.8113333333333334
35,51.33822908005493,49.27897295434703,1.0,0.8116666666666668
36,51.369061791570005,49.26650529257142,1.0,0.812
37,51.39929402275504,49.25372515799768,1.0,0.8123333333333334
38,51.42891251353643,49.240635703746776,1.0,0.8126666666666668
39,51.45790427303148,49.2272401592552,1.0,0.8130000000000001
40,51.486256585246345,49.21354182947816,1.0,0.8133333333333334
41,51.51395701465335,49.199544094074206,1.0,0.8136666666666668
42,51.54099341164531,49.18525040657138,1.0,0.8140000000000001
43,51.56735391786441,49.17066429351517,1.0,0.8143333333333334
44,51.59302697140338,49.15578935359846,1.0,0.8146666666666668
45,51.61800131187665,49.1406292567736,1.0,0.8150000000000001
46,51.64226598535918,49.12518774334701,1.0,0.8153333333333334
47,51.665810349191005,49.10946862305636,1.0,0.8156666666666668
48,51.68862407664513,49.0934757741306,1.0,0.8160000000000001
49,51.710697161456906,49.07721314233315,1.0,0.8163333333333334
50,51.73201992221289,49.06068473998839,1.0,0.8166666666666668
51,51.75258300659713,49.04389464499174,1.0,0.8170000000000001
52,51.7723773954932,49.02684699980355,1.0,0.8173333333333334
53,51.79139440694003,49.009546010427094,1.0,0.8176666666666668
54,51.809625699939886,48.99199594537083,1.0,0.8180000000000001
55,51.82706327811677,48.97420113459529,1.0,0.8183333333333334
56,51.84369949322371,48.9561659684448,1.0,0.8186666666666668
57,51.85952704849734,48.937894896564266,1.0,0.8190000000000001
58,51.874539001858295,48.91939242680139,1.0,0.8193333333333334
59,51.888728768956064,48.900663124094436,1.0,0.8196666666666668
60,51.90209012605692,48.881711609346034,1.0,0.8200000000000001
61,51.91461721277373,48.86254255828307,1.0,0.8203333333333334
62,51.92630453463632,48.84316070030309,1.0,0.8206666666666667
63,51.93714696550144,48.823570817307456,1.0,0.8210000000000001
64,51.94713974980106,48.80377774252158,1.0,0.8213333333333334
65,51.95627850462825,48.78378635930245,1.0,0.8216666666666668
66,51.96455922165954,48.763601599933786,1.0,0.8220000000000001
67,51.971978268913,48.74322844440918,1.0,0.8223333333333334
68,51.97853239234124,48.72267191920343,1.0,0.8226666666666667
69,51.98421871725867,48.70193709603236,1.0,0.8230000000000001
70,51.98903474960237,48.68102909060156,1.0,0.8233333333333334
71,51.99297837702597,48.65995306134426,1.0,0.8236666666666668
72,51.99604786982618,48.63871420814858,1.0,0.8240000000000001
73,51.99824188170141,48.61731777107464,1.0,0.8243333333333334
74,51.99955945034232,48.59576902906175,1.0,0.8246666666666667
75,51.99999999785383,48.57407329862595,1.0,0.8250000000000001
76,51.999563331008645,48.552235932548356,1.0,0.8253333333333334
77,51.998249641331974,48.53026231855447,1.0,0.8256666666666667
78,51.99605950501754,48.50815787798498,1.0,0.8260000000000001
79,51.99299388267486,48.48592806445813,1.0,0.8263333333333334
80,51.9890541189079,48.46357836252427,1.0,0.8266666666666667
81,51.98424194172532,48.44111428631267,1.0,0.8270000000000001
82,51.978559461782595,48.41854137817107,1.0,0.8273333333333334
83,51.97200917145621,48.395865207298286,1.0,0.8276666666666667
84,51.96459394375053,48.37309136837016,1.0,0.8280000000000001
85,51.95631703103765,48.35022548015924,1.0,0.8283333333333334
86,51.94718206363092,48.32727318414851,1.0,0.8286666666666667
87,51.937193048192604,48.30424014313956,1.0,0.8290000000000001
88,51.9263543659766,48.28113203985539,1.0,0.8293333333333334
89,51.91467077090673,48.25795457553842,1.0,0.8296666666666667
90,51.90214738749167,48.23471346854386,1.0,0.8300000000000001
